lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
thermocapillary,DET,589,0,90,48,156
rosiglitazone,PRON,152,0,90,8,85
tumatahan,ADP,89,0,89,0,71
tirofiban,ADP,140,0,89,9,69
thrombin,ADP,423,6,89,74,132
stego,DET,146,0,89,7,82
satyagraha,DET,144,0,88,32,67
insulinlike,ADP,402,0,88,53,150
alprenolol,DET,318,0,88,27,115
metaphase,PRON,189,18,88,55,92
picosecond,CONJ,275,0,87,28,104
typename,DET,245,0,87,12,90
erlotinib,PRON,138,0,87,6,84
amphotericin,ADP,160,0,86,26,71
thermodilution,DET,209,0,86,22,88
pimiento,ADP,296,2,86,57,85
iodophor,ADP,179,0,86,29,84
naalaala,DET,86,0,86,0,63
thermosphacta,DET,155,0,86,18,79
ofeu,ADP,363,0,85,15,107
danlos,ADP,187,0,85,9,78
vsphere,ADP,134,0,85,3,77
quantile,ADP,279,0,85,29,98
lndira,ADP,163,0,85,17,69
njohur,ADP,85,0,85,0,57
dalfopristin,ADP,111,0,84,8,72
thermocycler,DET,208,0,84,16,91
airphoto,DET,628,0,84,101,187
opsonin,ADP,393,24,84,52,92
raindrop,DET,282,0,84,44,95
thieno,DET,221,0,83,30,86
oedometer,ADP,277,0,83,39,108
outerplanar,ADP,180,0,83,17,75
aggresome,DET,115,0,83,7,76
sevoflurane,PRON,272,0,83,17,97
biovar,ADP,145,0,83,18,66
allenyl,DET,247,0,82,26,90
thirdcountry,DET,202,0,82,32,82
altiplano,DET,252,0,82,36,84
asialo,DET,341,0,82,26,113
thiophanate,DET,240,0,82,25,79
thiamphenicol,DET,300,0,82,32,114
isoleucine,PRON,181,1,81,37,68
foreword,ADP,366,17,81,60,99
nanosecond,CONJ,176,0,80,23,78
fortran,ADP,229,0,80,35,94
mebendazole,PRON,118,0,80,18,64
thioglycollate,DET,251,0,80,46,94
lignin,ADP,648,8,64,149,177
aryl,ADP,572,11,17,138,150
formamide,ADP,556,8,21,109,156
tolerant,PRT,650,11,13,105,112
medicated,PRON,570,3,8,101,136
albopictus,ADP,614,5,46,101,172
appendix,DET,570,17,38,99,121
perinuclear,ADP,624,21,42,97,146
welchii,DET,613,14,52,96,155
upriver,ADP,456,14,41,95,144
tridentata,DET,533,23,30,91,107
thiocarbonyl,DET,422,23,67,89,134
outlay,ADP,589,19,40,88,107
mediumand,CONJ,447,3,74,88,147
meristem,PRON,396,20,33,88,130
overlay,PRT,473,8,12,87,107
bottomland,CONJ,538,6,74,86,134
seafloor,ADP,598,0,14,85,164
vivos,ADP,433,8,37,84,108
ityourself,PRON,348,2,6,83,113
anserinus,CONJ,639,15,15,83,84
ammonite,DET,427,14,25,81,98
musculus,CONJ,384,25,25,81,83
workfor,ADP,604,24,24,80,81
aficionados,ADP,568,0,39,79,144
whomever,PRON,570,17,21,78,82
byzantin,ADP,371,23,48,78,107
mesoscutum,PRON,501,25,66,77,111
andanswer,DET,395,3,54,77,116
parkland,CONJ,397,1,36,76,123
unith,ADP,545,15,17,76,77
deg,ADP,343,11,12,76,82
mrs,PRON,528,15,71,76,104
standby,ADP,329,8,40,76,113
interact,PRON,630,0,54,75,157
torso,PRT,620,12,16,75,88
infarction,ADP,331,22,29,75,88
octobre,ADP,316,14,33,75,100
spacetime,DET,648,0,32,74,156
thermotherapy,DET,580,14,22,73,112
download,PRT,619,0,37,50,185
fromfromfromfrom,ADP,538,0,4,12,175
intron,ADP,566,0,3,72,166
clickthe,DET,550,0,74,18,155
anananan,DET,429,0,18,9,150
ichthyoplankton,ADP,568,0,69,48,150
asasasas,ADP,460,0,5,10,148
smartphone,PRON,616,0,28,16,147
worldview,PRON,611,0,21,55,143
andalou,CONJ,610,0,39,59,139
bybybybyby,ADP,551,0,13,13,138
onononon,ADP,640,0,3,15,135
broadband,PRT,444,0,64,48,135
lotsa,DET,500,0,59,65,134
ontyme,PRON,548,0,69,23,131
interleaver,ADP,646,0,27,43,131
kbar,ADP,539,0,31,67,129
