lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
xxvn,ADP,155,22,22,26,27
aliout,DET,188,22,22,37,38
wiiich,DET,47,22,22,22,22
upcn,PRT,64,22,22,24,24
incisus,ADP,77,22,26,23,27
interpose,ADP,52,21,22,22,22
sai,PRON,99,21,22,26,26
euerie,DET,185,21,22,33,33
abou,DET,93,21,21,29,29
attest,CONJ,55,21,21,21,21
fortytwo,ADP,61,21,22,22,22
ivhile,ADP,50,21,21,21,21
thiit,PRON,74,21,22,29,29
althougn,ADP,91,21,21,26,26
whde,ADP,83,21,22,22,22
lcs,ADP,85,21,21,25,25
ohief,ADP,81,21,25,24,26
thairefter,ADP,175,21,21,45,45
iound,ADP,97,21,21,26,26
arista,ADP,147,21,24,26,30
dapple,ADP,132,21,21,27,27
oflf,PRON,64,21,21,22,22
tbat,PRON,101,21,21,29,29
eak,PRON,52,21,22,23,23
thegn,DET,85,21,22,25,25
atford,ADP,101,21,21,34,34
btween,ADP,80,20,21,25,25
limitin,ADP,60,20,21,22,23
thrt,ADP,196,20,20,40,40
upbn,ADP,85,20,20,29,30
ohnstown,ADP,129,20,22,29,33
benzoin,ADP,67,20,20,22,22
liere,ADP,78,20,20,27,27
tnat,PRT,193,20,20,30,30
beea,ADP,35,20,20,20,20
iun,ADP,92,20,20,27,27
aflirm,ADP,53,20,21,20,21
payd,ADP,123,20,20,22,23
nearer,CONJ,55,20,20,20,21
thilke,ADP,123,20,20,26,27
upp,ADP,42,20,20,20,20
aux,ADP,135,20,20,36,36
thatch,PRON,108,20,20,30,30
tojthe,DET,66,20,20,23,23
unler,ADP,84,20,20,25,25
alphabetically,ADP,134,19,20,27,28
atile,ADP,61,19,20,20,20
lisle,ADP,93,19,20,20,21
lhrough,ADP,78,19,20,22,22
quhairin,ADP,114,19,20,33,34
foro,ADP,48,19,19,21,21
iroup,ADP,94,19,29,25,36
understan,ADP,45,19,19,19,20
througi,ADP,59,19,20,21,22
ofllcer,ADP,132,19,31,33,39
waa,PRT,55,19,19,19,19
tubercula,DET,58,19,19,23,23
godown,PRT,121,19,23,29,33
inauguration,ADP,106,19,22,29,32
tlie,PRT,42,19,19,20,20
warp,PRT,84,19,23,28,30
silversmith,ADP,188,19,19,43,43
befoi,ADP,64,19,19,21,22
nnd,PRON,79,19,19,26,27
tlmn,ADP,48,19,19,21,21
agajnst,ADP,40,19,19,19,20
htm,PRON,134,19,19,22,22
troin,ADP,42,19,19,18,18
atcd,ADP,64,19,19,19,19
arou,ADP,100,18,19,33,33
abaft,DET,59,18,19,18,19
beinsr,ADP,63,18,19,20,21
steeper,ADP,129,18,21,29,32
tellin,ADP,194,18,19,34,35
troisieme,DET,112,18,19,30,31
goot,PRT,87,18,19,24,24
theol,DET,191,18,19,34,34
innew,ADP,166,18,18,24,24
lioth,ADP,76,18,19,24,24
steadfast,PRON,161,18,19,28,30
beinjr,ADP,45,18,18,18,18
toshow,PRT,96,18,18,24,24
astern,PRT,55,18,18,18,18
forst,ADP,46,18,18,18,18
iefore,ADP,38,18,18,17,17
withqut,ADP,47,18,18,18,18
behindhand,ADP,62,18,18,21,22
euer,DET,84,18,18,20,20
atabout,ADP,82,18,19,26,26
inum,ADP,83,18,24,23,26
proin,ADP,39,18,18,18,18
sincc,ADP,72,18,18,20,21
whsn,ADP,49,18,18,18,19
andithe,DET,121,18,18,28,28
betwesn,ADP,124,18,22,30,31
meadowland,CONJ,95,18,28,27,34
nur,CONJ,142,18,18,27,27
warranto,PRT,89,18,18,22,23
anygiven,DET,68,18,18,18,19
andjthe,DET,54,18,18,20,21
fronj,ADP,38,18,18,18,19
igi,PRON,155,18,19,26,26
linst,ADP,57,18,18,20,20
lligh,ADP,105,18,19,22,23
yland,CONJ,67,17,18,18,18
hrough,DET,76,17,18,26,26
onlv,DET,64,17,17,20,21
furloughs,ADP,80,17,19,20,23
vjith,ADP,40,17,17,16,16
advanta,DET,74,17,17,19,19
alcalde,ADP,79,17,18,23,23
tbla,DET,119,17,23,23,27
wlthln,ADP,158,17,33,37,43
fcj,ADP,78,17,17,20,21
anybodv,DET,75,17,22,21,25
bigoted,CONJ,57,17,17,19,20
xcith,ADP,40,17,18,17,18
anythe,DET,52,17,17,18,18
overshot,ADP,101,17,17,24,24
ett,CONJ,145,17,17,19,19
wief,ADP,108,17,17,24,25
tlge,DET,37,17,18,16,17
becnuse,ADP,49,17,17,16,17
