lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
ange,DET,83,15,16,25,25
thorow,PRON,77,15,16,19,19
ulpon,ADP,64,15,16,19,20
thereol,DET,47,15,16,18,18
ardin,ADP,41,15,16,16,17
widin,ADP,67,15,16,18,18
itbelf,PRON,63,14,16,21,22
plesand,CONJ,313,15,15,24,24
assiguor,ADP,210,6,15,26,35
atfd,ADP,170,15,15,23,23
ohapter,ADP,163,12,15,17,22
hecome,DET,141,15,15,19,19
ofvthe,ADP,139,15,15,25,25
fev,ADP,132,15,15,26,27
thousandsl,DET,132,0,15,13,30
lnterurban,ADP,118,5,15,15,26
tfith,ADP,110,14,15,28,29
iday,ADP,102,15,15,22,23
behveen,ADP,99,15,15,19,19
hy,DET,72,15,15,17,17
stout,ADP,43,15,15,15,15
tliie,DET,51,15,15,17,17
yearthe,DET,46,15,15,19,19
aiul,DET,43,15,15,18,18
lpon,ADP,48,15,15,17,17
tliough,ADP,39,15,15,19,19
whar,DET,54,15,15,17,17
himsolf,PRON,91,15,15,21,22
icithout,ADP,39,15,15,15,16
witlun,ADP,55,15,15,17,17
upqn,ADP,48,15,15,18,18
impregnable,PRON,35,15,15,14,14
aftrr,ADP,47,15,15,17,17
becon,ADP,62,15,15,20,21
iere,PRON,33,15,15,14,15
otlier,ADP,36,15,15,17,17
skelter,ADP,67,15,15,18,19
beinga,ADP,65,15,15,19,19
throtigh,ADP,40,15,15,16,16
throwe,PRON,44,15,15,15,15
toco,PRT,83,15,15,23,23
attcr,ADP,35,14,15,14,14
fronl,ADP,52,14,15,17,18
followmg,ADP,90,14,15,21,22
sinre,ADP,36,14,15,16,16
ajrainst,ADP,34,14,15,14,14
arn,ADP,55,14,15,17,17
tiiem,PRON,28,14,15,16,16
whpn,ADP,32,14,15,15,15
birch,PRT,77,14,15,21,22
incorporatin,ADP,86,13,15,15,16
anybeast,DET,64,0,15,2,26
upoun,PRT,420,14,14,42,42
frcn,ADP,393,13,14,63,64
angola,DET,299,13,14,44,45
begann,ADP,278,14,14,24,25
wg,ADP,244,14,14,46,46
infinity,ADP,225,13,14,50,52
palsy,ADP,163,13,14,25,26
lile,ADP,150,14,14,25,25
yoar,ADP,126,14,14,18,18
thatithe,DET,119,14,14,24,24
ofeducationfor,ADP,104,0,14,3,25
andlthe,DET,101,14,14,24,24
ae,CONJ,101,14,14,24,25
thistabulation,DET,97,0,14,4,28
att,PRON,71,14,14,16,16
beliind,ADP,47,14,14,14,14
oiir,ADP,38,14,14,16,16
sittin,ADP,79,14,14,17,17
bos,ADP,71,14,14,19,19
vfith,ADP,32,14,14,14,14
ami,PRON,58,14,14,16,17
asi,PRT,45,14,14,16,16
beinr,ADP,47,14,14,15,15
wben,PRT,49,14,14,16,16
befitting,ADP,95,14,14,21,21
ioor,ADP,43,14,14,15,15
tfct,DET,40,14,14,15,16
withjn,ADP,40,14,14,15,15
quhan,ADP,84,14,14,18,18
athousand,ADP,44,14,14,17,18
lhat,CONJ,30,14,14,14,14
bepn,ADP,32,14,14,15,15
tgainst,ADP,29,14,14,13,13
omt,ADP,57,14,14,19,19
thlt,ADP,54,14,14,16,16
vrithin,ADP,53,14,14,17,17
haa,DET,41,14,14,15,15
tluit,PRON,32,14,14,15,15
aoainst,ADP,72,14,14,19,20
llor,ADP,43,14,14,16,16
orland,CONJ,68,14,14,19,19
againsf,ADP,60,14,14,15,15
insurrection,ADP,48,14,14,16,17
ifith,ADP,38,14,14,14,14
turnin,ADP,45,14,14,15,15
upgn,ADP,40,14,14,15,15
tfc,DET,47,14,14,16,16
woollen,PRT,31,14,14,13,13
aaainst,ADP,72,13,14,18,18
thome,DET,82,13,14,16,18
thejr,PRON,40,13,14,15,16
azainst,ADP,59,13,14,16,16
arainst,ADP,57,13,14,17,18
vchmn,ADP,79,0,14,4,26
pd,CONJ,448,13,13,45,45
aother,DET,320,11,13,27,28
